x,Amplitude
0.000000000000000000e+00,0.000000000000000000e+00
4.604604604604604634e-01,7.839142692261833467e+00
1.351351351351351315e+00,2.241594911796422895e+00
1.961961961961961931e+00,-2.028428457969782883e+00
1.971971971971971938e+00,-1.926865496104716025e+00
3.163163163163162928e+00,-2.419919325678021593e-02
3.173173173173172934e+00,5.514933866654914141e-02
4.724724724724724823e+00,-1.265451730577464406e+00
5.595595595595595384e+00,1.790586043326932941e+00
6.966966966966967156e+00,-1.375989898735046957e+00
